job_position,company_name,location,history,job_link
Data Engineer,Signific,Stockholm,"{""applied"": ""2026-04-27""}",https://www.linkedin.com/jobs/view/4404088800
Data Engineer,CoreChange Tech,Stockholm,"{""applied"": ""2026-04-27""}",https://www.linkedin.com/jobs/view/4288228781
